RATING,TITLE,CREDIT,BOXOFFICE,YEAR
57,The Commuter,Michael MacCauley,36.3,2018
83,Silence,Father Ferreira,7.1,2017
86,A Monster Calls,The Monster,3.8,2017
33,Operation Chromite,Douglas MacArthur,1,2016
46,Ted 2,Customer,63.9,2015
33,A Million Ways to Die in the West,Clinch,37.4,2014
60,Non-Stop,Bill Marks,80.5,2014
95,The LEGO Movie,Bad Cop/Good Cop,244.9,2014
22,Taken 2,Bryan Mills,139.9,2012
87,The Dark Knight Rises,Ra's al Ghul,448.2,2012
34,Battleship,Admiral Shane,65.2,2012
26,Wrath of the Titans,Zeus,83.7,2012
79,The Grey,Ottway,51.6,2012
55,Unknown,Dr. Martin Harris,63.7,2011
49,The Chronicles of Narnia: The Voyage of the Dawn Treader,Aslan,104.4,2010
51,The Next Three Days,Damon Pennington,21.2,2010
48,The A-Team,Hannibal Smith,77.3,2010
27,Clash of the Titans,Zeus,163.2,2010
51,Chloe,David Stewart,31.1,2010
92,Ponyo,Fujimoto,15.2,2009
58,Taken,Bryan,145,2009
67,The Chronicles of Narnia: Prince Caspian,Voice of Aslan,141.7,2008
76,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Aslan,291.7,2005
84,Batman Begins,Henri Ducard,204.2,2005
39,Kingdom of Heaven,Godfrey,47.3,2005
90,Kinsey,Alfred Kinsey,10.3,2004
63,Love Actually,Daniel,59.4,2003
74,Gangs of New York,"""Priest"" Vallon",77.7,2002
61,K-19: The Widowmaker,Capt. Polenin,35.2,2002
95,The Endurance,Actor,2.1,2001
54,Star Wars: Episode I - The Phantom Menace,Qui-Gon Jinn,431.1,1999
